,0,1
0,000011.SZ,12.37
1,000333.SZ,22.21
2,000568.SZ,33.32
3,000596.SZ,17.93
4,000651.SZ,24.19
5,000661.SZ,25.71
6,000672.SZ,11.42
7,000789.SZ,5.45
8,000848.SZ,23.7
9,000858.SZ,25.28
10,000895.SZ,25.43
11,000963.SZ,14.21
12,002007.SZ,11.11
13,002032.SZ,27.89
14,002050.SZ,21.38
15,002179.SZ,16.82
16,002236.SZ,9.49
17,002242.SZ,13.75
18,002262.SZ,17.2
19,002271.SZ,7.97
20,002287.SZ,13.98
21,002304.SZ,21.03
22,002372.SZ,25.84
23,002402.SZ,11.28
24,002415.SZ,19.62
25,002507.SZ,12.09
26,002508.SZ,17.21
27,002555.SZ,25.41
28,002595.SZ,17.35
29,002597.SZ,27.03
30,002601.SZ,16.69
31,002626.SZ,6.27
32,002677.SZ,23.52
33,002690.SZ,29.37
34,002737.SZ,21.98
35,002821.SZ,23.56
36,002833.SZ,19.2
37,002867.SZ,18.28
38,002884.SZ,19.65
39,002901.SZ,3.2
40,002916.SZ,14.7
41,002925.SZ,13.02
42,002950.SZ,14.09
43,002978.SZ,21.3
44,002979.SZ,19.07
45,002985.SZ,12.17
46,003013.SZ,19.59
47,003026.SZ,2.55
48,003028.SZ,12.98
49,300003.SZ,17.6
50,300014.SZ,17.46
51,300015.SZ,19.16
52,300033.SZ,25.55
53,300122.SZ,36.13
54,300327.SZ,22.99
55,300357.SZ,18.77
56,300415.SZ,17.94
57,300418.SZ,10.04
58,300450.SZ,22.55
59,300463.SZ,12.08
60,300482.SZ,30.81
61,300529.SZ,26.25
62,300595.SZ,25.74
63,300628.SZ,30.9
64,300630.SZ,15.62
65,300653.SZ,19.58
66,300685.SZ,18.42
67,300701.SZ,5.75
68,300725.SZ,12.44
69,300726.SZ,20.6
70,300751.SZ,14.15
71,300760.SZ,33.38
72,300763.SZ,35.09
73,300770.SZ,21.36
74,300773.SZ,-35.31
75,300776.SZ,16.63
76,300777.SZ,19.15
77,300782.SZ,13.12
78,300783.SZ,5.67
79,300792.SZ,6.69
80,300824.SZ,6.64
81,300832.SZ,21.89
82,300837.SZ,16.24
83,300841.SZ,20.97
84,300861.SZ,32.58
85,300866.SZ,17.81
86,300873.SZ,16.39
87,300880.SZ,17.77
88,300894.SZ,20.09
89,300896.SZ,23.73
90,300911.SZ,16.57
91,600132.SH,69.25
92,600183.SH,11.71
93,600273.SH,16.88
94,600298.SH,16.47
95,600309.SH,22.75
96,600383.SH,9.56
97,600398.SH,13.89
98,600406.SH,16.09
99,600436.SH,23.5
100,600486.SH,23.18
101,600507.SH,11.05
102,600519.SH,30.26
103,600563.SH,27.23
104,600566.SH,21.91
105,600570.SH,17.36
106,600585.SH,8.5
107,600663.SH,4.92
108,600678.SH,5.22
109,600690.SH,16.81
110,600763.SH,17.57
111,600779.SH,39.96
112,600801.SH,10.03
113,600809.SH,44.74
114,600867.SH,24.52
115,600872.SH,-17.41
116,600885.SH,17.86
117,600887.SH,19.23
118,600989.SH,19.57
119,601012.SH,26.95
120,601155.SH,2.34
121,601225.SH,35.28
122,601636.SH,10.36
123,601888.SH,13.95
124,603018.SH,16.63
125,603039.SH,11.78
126,603040.SH,15.19
127,603043.SH,16.7
128,603087.SH,-4.45
129,603180.SH,11.24
130,603195.SH,27.88
131,603198.SH,26.38
132,603203.SH,20.85
133,603267.SH,21.98
134,603288.SH,25.52
135,603290.SH,15.3
136,603327.SH,22.23
137,603338.SH,19.32
138,603369.SH,24.73
139,603387.SH,21.76
140,603408.SH,16.9
141,603444.SH,32.49
142,603466.SH,2.8
143,603489.SH,18.51
144,603506.SH,14.81
145,603515.SH,13.24
146,603568.SH,19.45
147,603587.SH,10.28
148,603589.SH,18.23
149,603596.SH,18.11
150,603605.SH,25.95
151,603638.SH,8.6
152,603639.SH,14.83
153,603659.SH,26.0
154,603666.SH,-3.83
155,603700.SH,8.07
156,603707.SH,18.82
157,603801.SH,19.91
158,603833.SH,17.37
159,603848.SH,11.33
160,603866.SH,13.1
161,603868.SH,25.73
162,603886.SH,16.97
163,603899.SH,19.6
164,603915.SH,13.32
165,603927.SH,23.93
166,603989.SH,13.96
167,605099.SH,21.01
168,605111.SH,18.77
169,605123.SH,19.88
170,605136.SH,-5.3
171,605266.SH,17.87
172,605277.SH,12.33
173,605338.SH,11.19
174,605369.SH,22.09
175,605376.SH,9.39
176,688016.SH,22.22
177,688026.SH,8.39
178,688036.SH,16.78
179,688093.SH,13.94
180,688169.SH,13.16
181,688188.SH,12.48
182,688298.SH,25.03
183,688301.SH,19.25
184,688356.SH,16.45
185,688390.SH,33.18
186,688399.SH,58.8
187,688526.SH,12.35
188,688568.SH,10.52
189,688598.SH,15.49
190,688698.SH,15.18
191,688699.SH,0.67
